V,sigma,m0,a,ell,r,Pi,L,Npts,N_max_central,N_max_box,N_max_pos,N_origin,superluminal_volume,superluminal_fraction,superluminal_connected,superluminal_touches_edge,superluminal_contains_origin,passenger_zone_volume,passenger_zone_radius,dt_timelike_fraction,label
1.5,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,18.332153988299005,18.332153988299005,"(-0.5, 0.0, 0.0)",1.5220861499187777e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,canonical-V1p5
0.1,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,1.2221435992199337,1.2221435992199337,"(-0.5, 0.0, 0.0)",1.0147240997460116e-06,14260.40625,0.9999923302212292,1,True,False,0.109375,0.3535533905932738,7.669778770709772e-06,canonical-V0p1
1.0,6.0,3.0,0.1,4.0,6.0,0.25,12.0,97,9.250827834290687,9.250827834290687,"(-0.5, 0.0, 0.0)",0.00011165178453757345,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,compact-V1
0.5,4.0,2.5,0.05,4.0,5.0,0.25,12.0,97,2.8049246166870154,2.8049246166870154,"(-0.5, 0.0, 0.0)",2.2601907882169314e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,edge-V0p5
0.5,8.0,3.5,0.05,4.0,7.0,0.25,12.0,97,6.667115038380941,6.667115038380941,"(-0.5, 0.0, 0.0)",2.421791816346423e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,high-m0-V0p5
0.01,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,0.12221435992199338,0.12221435992199338,"(0.0, 0.5, 0.0)",1.0147241002086045e-07,0.0,0.0,0,False,False,14260.515625,20.784609690826528,1.0,V-scan-0.010
0.03,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,0.36664307976598,0.36664307976598,"(-0.5, 0.0, 0.0)",3.0441723006258137e-07,0.0,0.0,0,False,False,14260.515625,20.784609690826528,1.0,V-scan-0.030
0.05,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,0.6110717996099668,0.6110717996099668,"(-0.5, 0.0, 0.0)",5.073620498730058e-07,0.0,0.0,0,False,False,14260.515625,20.784609690826528,1.0,V-scan-0.050
0.08,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,0.977714879375947,0.977714879375947,"(0.0, 0.5, 0.0)",8.117792801668836e-07,0.0,0.0,0,False,False,14260.515625,20.784609690826528,1.0,V-scan-0.080
0.1,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,1.2221435992199337,1.2221435992199337,"(-0.5, 0.0, 0.0)",1.0147240997460116e-06,14260.40625,0.9999923302212292,1,True,False,0.109375,0.3535533905932738,7.669778770709772e-06,V-scan-0.100
0.13,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,1.5887866789859133,1.5887866789859133,"(-0.5, 0.0, 0.0)",1.3191413297253263e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.130
0.15,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,1.8332153988299003,1.8332153988299003,"(-0.5, 0.0, 0.0)",1.5220861498965732e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.150
0.2,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,2.4442871984398673,2.4442871984398673,"(-0.5, 0.0, 0.0)",2.0294481994920233e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.200
0.3,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,3.6664307976598005,3.6664307976598005,"(-0.5, 0.0, 0.0)",3.0441722997931464e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.300
0.5,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,6.110717996099667,6.110717996099667,"(-0.5, 0.0, 0.0)",5.073620500469407e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.500
0.75,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,9.166076994149503,9.166076994149503,"(-0.5, 0.0, 0.0)",7.610430749593888e-06,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-0.750
1.0,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,12.221435992199334,12.221435992199334,"(-0.5, 0.0, 0.0)",1.0147241000938815e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-1.000
1.5,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,18.332153988299005,18.332153988299005,"(-0.5, 0.0, 0.0)",1.5220861499187777e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-1.500
2.0,10.0,3.0,0.05,4.0,9.0,0.25,12.0,97,24.442871984398668,24.442871984398668,"(-0.5, 0.0, 0.0)",2.029448200187763e-05,14260.5,0.9999989043173184,1,True,False,0.015625,0.25,1.0956826815299675e-06,V-scan-2.000
