name,coef,rank
a * ell,55.51436048099837,21
sigma^2,49.802624878397914,3
a^2 * ell,44.16619293250116,67
a,-42.16465542344035,46
r^2,40.03146400894788,10
ell,39.51580256188541,2
a * ell^2,-36.70938539901561,38
r^3,34.76733147875345,119
a * r^2,-32.9653005056985,29
sigma^2 * ell,32.9400921997362,7
sigma^2 * a,-31.954783994847073,26
m0^3,30.306841402309438,37
m0 * r^2,29.526836441572534,108
ell^3,29.102541232706056,60
a^3,-27.319586099134934,14
sigma^2 * m0,27.12556310400672,1
ell * r^2,27.09311158715441,77
a^2 * r^2,-24.754974780595887,101
a * ell * r^2,24.351234555856806,18
m0^2,22.790420002078445,22
m0^2 * a^2,-22.71477258830607,105
m0,22.181316927253853,5
sigma * m0 * a,22.113026896595365,71
sigma * a,-20.879275460751963,54
sigma * m0 * ell * r,-19.97347504655408,90
sigma * m0 * r,-19.22201657058437,39
sigma * m0^2 * a,-19.18713414945493,6
sigma * m0 * a * r,18.181522164299416,80
m0 * a^2,18.103446782629497,65
m0^3 * ell,17.42499451933497,36
ell * r^3,16.512060337694955,88
m0^2 * a * ell,16.424445386701315,56
sigma * m0^2 * ell,15.636976501847577,120
sigma^2 * m0 * ell,15.535622105820881,47
ell^2 * r,15.460066274700313,106
m0^2 * ell,15.077939850562538,13
sigma * m0^2,14.569007680819599,28
m0 * r,-14.302332095351339,51
ell^2 * r^2,-14.103256944887981,0
sigma^2 * a * ell,13.942778618258224,84
sigma^2 * r,13.36164017396595,78
a * r,13.164763892755724,53
m0^2 * a * r,13.094254630582423,32
m0 * ell,-12.542379082900423,44
m0 * ell * r^2,12.232705202356799,66
a^2,11.978160625086229,45
sigma^2 * ell^2,-10.657729407769487,124
sigma * m0 * ell,-10.297691142081128,76
m0^2 * r,-10.287175861805157,122
m0 * a^3,9.826159494003306,9
sigma * a^2,9.710301465934068,92
sigma^2 * m0^2,-9.446957670791885,40
m0 * ell^3,9.374572273992023,33
sigma * m0 * ell^2,9.319479664754004,112
a * r^3,-9.259835834338482,89
sigma * r^2,-9.224205940197251,52
sigma * m0^2 * r,9.054819190757918,68
a * ell^2 * r,8.958249739050874,87
sigma^2 * a^2,-8.919560338867575,97
m0 * ell * r,8.775700385039638,12
m0 * a * ell,8.695404873082405,24
sigma * a * ell,8.360239399513299,123
a^2 * r,8.104043518276196,27
ell^2,7.870739201276939,115
m0^2 * ell^2,-7.558903759881746,4
sigma * a * ell * r,7.451944243468203,110
sigma * m0 * a * ell,-7.17458775578908,107
r^4,-7.153115464316883,58
a * ell^3,6.855818511612278,79
sigma * ell^3,6.82525148571778,41
m0 * a^2 * r,-6.673673352886686,103
sigma * m0,-6.642340021117778,48
ell^4,-6.638600660196947,93
sigma^2 * ell * r,6.528002112598387,116
sigma * ell,6.4457504605583535,50
m0 * ell^2 * r,5.912825263566427,59
sigma * a^3,-5.909369185658831,113
a^3 * r,-5.707213420204646,63
m0^4,5.305716580992113,81
sigma * a^2 * r,5.241657237920047,69
a^2 * ell^2,5.110541682290784,104
m0^2 * ell * r,-5.027272550059237,70
sigma^2 * r^2,-5.02476172474765,86
m0^3 * a,-4.778178866953367,74
a^4,-4.619780531573406,11
m0 * ell^2,4.404788916933433,96
m0 * a * r,4.304991679759602,16
a^3 * ell,-4.0039657574314615,49
sigma * a * r^2,3.95849262659301,42
m0 * r^3,3.9264708201059495,114
sigma * a^2 * ell,-3.9098376196255233,98
sigma * m0 * a^2,3.816042504712807,8
m0^2 * a,-3.748064654262564,25
m0^2 * r^2,-3.418425178666009,83
m0 * a * r^2,3.3155422656880607,55
sigma^3 * m0,-3.25357110634105,73
sigma * ell^2,3.110253203204691,72
r,-3.006313202383777,19
sigma * m0^3,2.8422331655074813,102
sigma * a * ell^2,-2.7946124486405024,91
sigma * r,-2.7855623388582704,23
sigma^3 * a,2.7690290553828136,117
m0 * a * ell^2,2.3545637079680386,31
sigma * a * r,2.3366913184749154,95
sigma^3,-2.309685102601561,94
sigma^4,2.254013878127597,34
sigma * ell * r,2.241543345393527,62
sigma^3 * r,2.0288525120375556,43
sigma^2 * a * r,-1.9966685853675563,75
a^2 * ell * r,1.872821241418332,121
m0 * a,1.6088307541324258,35
a * ell * r,-1.549727284836892,100
sigma^2 * m0 * r,-1.449640480310131,17
m0 * a * ell * r,-1.4102317001377753,20
ell^3 * r,1.346507530378865,61
m0 * a^2 * ell,-1.0190763353111474,57
sigma * m0 * r^2,0.6827055091478061,82
sigma * ell^2 * r,0.6721331509082248,111
ell * r,0.6565732588175844,118
sigma * r^3,-0.6429200698844093,109
m0^3 * r,0.6033907233382226,99
